Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Interventions,AG,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,AG,2,DOMAIN,Domain Abbreviation,Char,,AG,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,AG,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Interventions,AG,4,AGSEQ,Sequence Number,Num,,,,Identifier,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Interventions,AG,5,AGGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Interventions,AG,6,AGSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number from the procedure or test page.,Perm
Interventions,AG,7,AGLNKID,Link ID,Char,,,,Identifier,Identifier used to link related records across domains.This may be a one-to-one or a one-to-many relationship.,Perm
Interventions,AG,8,AGLNKGRP,Link Group ID,Char,,,,Identifier,Identifier used to link related records across domains.This will usually be a many-to-one relationship.,Perm
Interventions,AG,9,AGTRT,Reported Agent Name,Char,,,,Topic,Verbatim medication name that is either preprinted or collected on a CRF.,Req
Interventions,AG,10,AGMODIFY,Modified Reported Name,Char,,,,Synonym Qualifier,"If AGTRT is modified to facilitate coding, then AGMODIFY will contain the modified text.",Perm
Interventions,AG,11,AGDECOD,Standardized Agent Name,Char,,,,Synonym Qualifier,"Standardized or dictionary-derived text description of AGTRT or AGMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then AGDECOD will be left blank.",Perm
Interventions,AG,12,AGCAT,Category for Agent,Char,,,,Grouping Qualifier,"Used to define a category of agent. Examples: ""CHALLENGE AGENT"", ""PET TRACER"".",Perm
Interventions,AG,13,AGSCAT,Subcategory for Agent,Char,,,,Grouping Qualifier,Further categorization of agent.,Perm
Interventions,AG,14,AGPRESP,AG Pre-Specified,Char,C66742,,,Variable Qualifier,"Used to indicate whether (""Y""/null) information about the use of a specific agent was solicited on the CRF.",Perm
Interventions,AG,15,AGOCCUR,AG Occurrence,Char,C66742,,,Record Qualifier,"When the use of specific agent is solicited, AGOCCUR is used to indicate whether (""Y""/""N"") use of the agent occurred. Values are null for agents not specifically solicited.",Perm
